Code,X,Y
1941.8333,1.369622119,0.124119203
1941.91663,1.426524864,0.133443074
1942,1.408867222,0.134338654
1942.08333,1.434946935,0.135576346
1942.16666,1.507784259,0.141270175
1942.24999,1.560247828,0.145140396
1942.33332,1.563766893,0.143810543
1942.41665,1.517834595,0.141478731
1942.49998,1.491254957,0.140650863
1942.58331,1.506673764,0.141456543
1942.66664,1.494877843,0.13875451
1942.74997,1.439188937,0.129524066
1942.8333,1.432958387,0.131139378
1942.91663,1.437107771,0.134557141
1943,1.38347833,0.129297048
1943.08333,1.329774151,0.121998392
1943.16666,1.316786955,0.118729945
1943.24999,1.299426994,0.110928516
1943.33332,1.270853622,0.109509632
1943.41665,1.25686738,0.104657361
1943.49998,1.235398114,0.102534161
1943.58331,1.284145798,0.108119647
1943.66664,1.268575328,0.100684243
1943.74997,1.281891103,0.10281069
1943.8333,1.333231433,0.109938484
1943.91663,1.322936537,0.10920952
1944,1.294481198,0.10762413
1944.08333,1.30357217,0.110509342
1944.16666,1.283254135,0.109083772
1944.24999,1.312583039,0.114147746
1944.33332,1.302137053,0.117101182
1944.41665,1.268219812,0.113483304
1944.49998,1.254277114,0.114259523
1944.58331,1.275583385,0.118224771
1944.66664,1.293948571,0.122428491
1944.74997,1.276263966,0.122788676
1944.8333,1.289095058,0.127807739
1944.91663,1.279429378,0.1304174
1945,1.25650195,0.130182319
1945.08333,1.229434212,0.130569555
1945.16666,1.235284609,0.130229087
1945.24999,1.21894432,0.131770842
1945.33332,1.191280362,0.127842887
1945.41665,1.193022973,0.131865841
1945.49998,1.217362041,0.14210919
1945.58331,1.222218245,0.141740255
1945.66664,1.160721762,0.139629611
1945.74997,1.12909727,0.12972508
1945.8333,1.105168735,0.133130599
1945.91663,1.098280344,0.133075635
1946,1.068160681,0.12596446
1946.08333,1.063793558,0.125754041
1946.16666,1.104589114,0.136312319
1946.24999,1.041627223,0.133043192
1946.33332,1.043499299,0.128550265
1946.41665,1.054068269,0.127963066
1946.49998,1.137339604,0.136914455
1946.58331,1.170035253,0.140050658
1946.66664,1.336179361,0.152726291
1946.74997,1.370432823,0.153229613
1946.8333,1.395322997,0.153600945
1946.91663,1.367716012,0.152782436
1947,1.358959389,0.148712939
1947.08333,1.313508691,0.139179858
1947.16666,1.361472976,0.144938
1947.24999,1.392231954,0.15121525
1947.33332,1.399217506,0.157473366
1947.41665,1.36278098,0.156929461
1947.49998,1.299713077,0.153510973
1947.58331,1.32241856,0.149519187
1947.66664,1.364188506,0.147513133
1947.74997,1.328425533,0.138645725
1947.8333,1.337801384,0.135226409
1947.91663,1.357170605,0.132277611
1948,1.377675609,0.13419787
1948.08333,1.410587054,0.139143197
1948.16666,1.395872081,0.139075261
1948.24999,1.34371008,0.131287903
1948.33332,1.306064594,0.129981981
1948.41665,1.280421976,0.128666856
1948.49998,1.324232655,0.135663336
1948.58331,1.365958543,0.145121374
1948.66664,1.390382707,0.150512128
1948.74997,1.368434797,0.15193971
1948.8333,1.427741551,0.159924854
1948.91663,1.440843476,0.163177445
1949,1.436325295,0.166991863
1949.08333,1.478422808,0.168477264
1949.16666,1.475387904,0.169872278
1949.24999,1.487583177,0.17229135
1949.33332,1.496828236,0.175602635
1949.41665,1.562950397,0.180107288
1949.49998,1.505118438,0.178395918
1949.58331,1.476131545,0.174058716
1949.66664,1.473090489,0.170236201
1949.74997,1.44416079,0.165949781
1949.8333,1.439256416,0.164506894
1949.91663,1.409374674,0.16580079
1950,1.388697246,0.161748564
1950.08333,1.3739232,0.1534074
1950.16666,1.365339457,0.148705123
1950.24999,1.332382099,0.146856213
1950.33332,1.299206987,0.142617469
1950.41665,1.283016012,0.14245748
1950.49998,1.366225103,0.144867709
1950.58331,1.311647106,0.138725009
1950.66664,1.272615737,0.131656362
1950.74997,1.236723295,0.125808181
1950.8333,1.239068172,0.128950413
1950.91663,1.251263593,0.130390665
1951,1.192538427,0.12768794
1951.08333,1.164758501,0.127069886
1951.16666,1.185897158,0.131016512
1951.24999,1.172781032,0.132132395
1951.33332,1.176487347,0.132004748
1951.41665,1.193092213,0.133287318
1951.49998,1.17559269,0.131142599
1951.58331,1.135653938,0.130844736
1951.66664,1.117269252,0.126526861
1951.74997,1.123979329,0.127149843
1951.8333,1.158282678,0.134062542
1951.91663,1.129514893,0.13245125
1952,1.094965945,0.125100741
1952.08333,1.104887939,0.127809522
1952.16666,1.10116354,0.126316701
1952.24999,1.107209136,0.122119885
1952.33332,1.103102354,0.114271451
1952.41665,1.079147954,0.099106023
1952.49998,1.057975271,0.099019938
1952.58331,1.049913557,0.100690288
1952.66664,1.06620996,0.101024899
1952.74997,1.087037535,0.09916141
1952.8333,1.05580283,0.102166557
1952.91663,1.01243551,0.101611735
1953,1.002715009,0.104275206
1953.08333,1.010771756,0.107544007
1953.16666,1.02376459,0.106730254
1953.24999,1.088170989,0.115878348
1953.33332,1.068387689,0.114823248
1953.41665,1.037300844,0.118102961
1953.49998,1.006694219,0.116672595
1953.58331,1.068870979,0.118342216
1953.66664,1.112822781,0.126631696
1953.74997,1.118122379,0.125616202
1953.8333,1.172396621,0.122425684
1953.91663,1.155500151,0.123711183
1954,1.16860566,0.125158665
1954.08333,1.193837672,0.123774765
1954.16666,1.181643959,0.12457302
1954.24999,1.184278026,0.122528324
1954.33332,1.188102736,0.118310035
1954.41665,1.150015063,0.116264796
1954.49998,1.111229553,0.116504267
1954.58331,1.130350664,0.112221841
1954.66664,1.082062003,0.111219859
1954.74997,1.055679244,0.109828567
1954.8333,1.001260558,0.105646496
1954.91663,0.937534798,0.099152774
1955,0.912923906,0.098861727
1955.08333,0.846102575,0.095878506
1955.16666,0.844365497,0.096263563
1955.24999,0.804543654,0.09326176
1955.33332,0.788997506,0.094933563
1955.41665,0.735194926,0.084066954
1955.49998,0.667654888,0.075575752
1955.58331,0.637939557,0.077668299
1955.66664,0.580625964,0.076712206
1955.74997,0.639096591,0.085155868
1955.8333,0.611397623,0.079987734
1955.91663,0.602637596,0.079165
1956,0.613626455,0.083839866
1956.08333,0.635199079,0.084562442
1956.16666,0.597640656,0.072785821
1956.24999,0.55625544,0.071620972
1956.33332,0.528358429,0.070396637
1956.41665,0.584271251,0.070785291
1956.49998,0.56951462,0.065763223
1956.58331,0.543629502,0.059630767
1956.66664,0.520754755,0.058612629
1956.74997,0.529675505,0.057889835
1956.8333,0.558952008,0.063550341
1956.91663,0.510359066,0.059049149
1957,0.510412376,0.063923969
1957.08333,0.601363211,0.072963875
1957.16666,0.63288027,0.072558544
1957.24999,0.598397158,0.071640595
1957.33332,0.548735197,0.070556211
1957.41665,0.507032826,0.067192479
1957.49998,0.444632223,0.066786296
1957.58331,0.472100226,0.074783902
1957.66664,0.51787038,0.080358903
1957.74997,0.589363908,0.087381974
1957.8333,0.606092804,0.090212928
1957.91663,0.676242867,0.096622037
1958,0.814955557,0.093839613
1958.08333,0.853780829,0.089155156
1958.16666,0.855983808,0.086932566
1958.24999,0.88063888,0.093303554
